starttime,stoptime,start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,usertype,day of week,start date,stop date,tripduration
2022-01-31 18:06:00,2022-01-31 18:42:00,Paulus Hook,Astor Place,40.714145,-74.033551,40.71928220070702,-74.07126188278198,member,Friday,04/02/2021,04/02/2021,0 days 00:36:00
2022-01-31 21:19:00,2022-01-31 21:59:00,Bergen Ave,Bergen Ave,40.722103,-74.071455,40.722103786686034,-74.07145500183105,casual,Tuesday,04/06/2021,04/06/2021,0 days 00:40:00
2022-01-31 17:26:00,2022-01-31 17:31:00,Bergen Ave,Lincoln Park,40.722103,-74.071455,40.7246050998869,-74.07840594649315,member,Wednesday,04/07/2021,04/07/2021,0 days 00:05:00
2022-01-31 20:23:00,2022-01-31 20:32:00,Jersey & 6th St,Hoboken Ave at Monmouth St,40.725289,-74.045571,40.73520838045357,-74.04696375131607,casual,Friday,04/30/2021,04/30/2021,0 days 00:09:00
2022-01-31 18:48:00,2022-01-31 18:57:00,Paulus Hook,Washington St,40.714145,-74.033551,40.7242941,-74.0354826,casual,Friday,04/23/2021,04/23/2021,0 days 00:09:00
2022-01-31 13:28:00,2022-01-31 13:33:00,Harborside,Grand St,40.719251,-74.034234,40.71517767732029,-74.03768330812454,member,Tuesday,04/13/2021,04/13/2021,0 days 00:05:00
2022-01-31 15:42:00,2022-01-31 15:47:00,Bergen Ave,Baldwin at Montgomery,40.722103,-74.071455,40.7236589,-74.0641943,member,Tuesday,04/06/2021,04/06/2021,0 days 00:05:00
2022-01-31 18:43:00,2022-01-31 18:53:00,Paulus Hook,Newport PATH,40.714145,-74.033551,40.7272235,-74.0337589,member,Friday,04/02/2021,04/02/2021,0 days 00:10:00
2022-01-31 13:25:00,2022-01-31 14:45:00,Bergen Ave,W 34 St & 11 Ave,40.722103,-74.071455,40.75594159,-74.0021163,member,Saturday,04/17/2021,04/17/2021,0 days 01:20:00
2022-01-31 16:13:00,2022-01-31 16:30:00,Bergen Ave,Columbus Drive,40.722103,-74.071455,40.71835519823214,-74.03891444206238,casual,Saturday,04/10/2021,04/10/2021,0 days 00:17:00
2022-01-31 19:46:00,2022-01-31 19:53:00,Harborside,Manila & 1st,40.719251,-74.034234,40.72165072487999,-74.04288411140442,member,Wednesday,04/14/2021,04/14/2021,0 days 00:07:00
2022-01-31 07:03:00,2022-01-31 07:07:00,Paulus Hook,Marin Light Rail,40.714145,-74.033551,40.71458403535893,-74.04281705617905,member,Friday,04/09/2021,04/09/2021,0 days 00:04:00
2022-01-31 10:51:00,2022-01-31 11:38:00,Paulus Hook,Marin Light Rail,40.714145,-74.033551,40.71458403535893,-74.04281705617905,casual,Saturday,04/10/2021,04/10/2021,0 days 00:47:00
2022-01-31 17:30:00,2022-01-31 18:01:00,Lincoln Park,Dey St,40.724605,-74.078405,40.737711,-74.066921,member,Sunday,04/04/2021,04/04/2021,0 days 00:31:00
2022-01-31 18:31:00,2022-01-31 18:47:00,Grand St,Hilltop,40.715177,-74.037683,40.7311689,-74.0575736,member,Saturday,04/17/2021,04/17/2021,0 days 00:16:00
2022-01-31 13:50:00,2022-01-31 14:40:00,Astor Place,Communipaw & Berry Lane,40.719282,-74.071261,40.71435836870427,-74.06661093235016,member,Sunday,04/25/2021,04/25/2021,0 days 00:50:00
2022-01-31 15:05:00,2022-01-31 15:39:00,Bergen Ave,Jackson Square,40.722103,-74.071455,40.71113,-74.0789,casual,Monday,04/05/2021,04/05/2021,0 days 00:34:00
2022-01-31 15:03:00,2022-01-31 15:39:00,Bergen Ave,Jackson Square,40.722103,-74.071455,40.71113,-74.0789,casual,Monday,04/05/2021,04/05/2021,0 days 00:36:00
2022-01-31 19:11:00,2022-01-31 19:24:00,Bergen Ave,City Hall,40.722103,-74.071455,40.7177325,-74.043845,casual,Saturday,04/10/2021,04/10/2021,0 days 00:13:00
2022-01-31 16:46:00,2022-01-31 16:54:00,Bergen Ave,Dixon Mills,40.722103,-74.071455,40.721630142638354,-74.04996782541275,casual,Wednesday,04/14/2021,04/14/2021,0 days 00:08:00
2022-01-31 18:26:00,2022-01-31 18:40:00,Bergen Ave,Hamilton Park,40.722103,-74.071455,40.727595966,-74.044247311,casual,Wednesday,04/07/2021,04/07/2021,0 days 00:14:00
2022-01-31 16:23:00,2022-01-31 16:31:00,Bergen Ave,Brunswick St,40.722103,-74.071455,40.7241765,-74.0506564,casual,Tuesday,04/20/2021,04/20/2021,0 days 00:08:00
2022-01-31 16:38:00,2022-01-31 17:01:00,Warren St,5 Corners Library,40.721123,-74.03805,40.73496102000952,-74.0595030784607,member,Sunday,04/04/2021,04/04/2021,0 days 00:23:00
2022-01-31 09:10:00,2022-01-31 09:49:00,Bergen Ave,Watts St & Greenwich St,40.722103,-74.071455,40.72405549,-74.00965965,member,Thursday,04/29/2021,04/29/2021,0 days 00:39:00
2022-01-31 19:00:00,2022-01-31 19:24:00,Paulus Hook,Newport Pkwy,40.714145,-74.033551,40.7287448,-74.0321082,member,Saturday,04/17/2021,04/17/2021,0 days 00:24:00
2022-01-31 14:24:00,2022-01-31 14:28:00,Warren St,Newark Ave,40.721123,-74.03805,40.72152515,-74.046304543,member,Saturday,04/17/2021,04/17/2021,0 days 00:04:00
2022-01-31 18:41:00,2022-01-31 19:24:00,Bergen Ave,Union St,40.722103,-74.071455,40.7182113,-74.0836394,member,Sunday,04/18/2021,04/18/2021,0 days 00:43:00
